"";"Country.Region";"Lat";"Long";"date";"name";"confirmed";"death";"recovered"
"1";"Afghanistan";33;65;2020-01-22;"Afghanistan";0;0;0
"2";"Afghanistan";33;65;2020-01-23;"Afghanistan";0;0;0
"3";"Afghanistan";33;65;2020-01-24;"Afghanistan";0;0;0
"4";"Afghanistan";33;65;2020-01-25;"Afghanistan";0;0;0
"5";"Afghanistan";33;65;2020-01-26;"Afghanistan";0;0;0
"6";"Afghanistan";33;65;2020-01-27;"Afghanistan";0;0;0
"7";"Afghanistan";33;65;2020-01-28;"Afghanistan";0;0;0
"8";"Afghanistan";33;65;2020-01-29;"Afghanistan";0;0;0
"9";"Afghanistan";33;65;2020-01-30;"Afghanistan";0;0;0
"10";"Afghanistan";33;65;2020-01-31;"Afghanistan";0;0;0
"11";"Afghanistan";33;65;2020-02-01;"Afghanistan";0;0;0
"12";"Afghanistan";33;65;2020-02-02;"Afghanistan";0;0;0
"13";"Afghanistan";33;65;2020-02-03;"Afghanistan";0;0;0
"14";"Afghanistan";33;65;2020-02-04;"Afghanistan";0;0;0
"15";"Afghanistan";33;65;2020-02-05;"Afghanistan";0;0;0
"16";"Afghanistan";33;65;2020-02-06;"Afghanistan";0;0;0
"17";"Afghanistan";33;65;2020-02-07;"Afghanistan";0;0;0
"18";"Afghanistan";33;65;2020-02-08;"Afghanistan";0;0;0
"19";"Afghanistan";33;65;2020-02-09;"Afghanistan";0;0;0
"20";"Afghanistan";33;65;2020-02-10;"Afghanistan";0;0;0
"21";"Afghanistan";33;65;2020-02-11;"Afghanistan";0;0;0
"22";"Afghanistan";33;65;2020-02-12;"Afghanistan";0;0;0
"23";"Afghanistan";33;65;2020-02-13;"Afghanistan";0;0;0
"24";"Afghanistan";33;65;2020-02-14;"Afghanistan";0;0;0
"25";"Afghanistan";33;65;2020-02-15;"Afghanistan";0;0;0
"26";"Afghanistan";33;65;2020-02-16;"Afghanistan";0;0;0
"27";"Afghanistan";33;65;2020-02-17;"Afghanistan";0;0;0
"28";"Afghanistan";33;65;2020-02-18;"Afghanistan";0;0;0
"29";"Afghanistan";33;65;2020-02-19;"Afghanistan";0;0;0
"30";"Afghanistan";33;65;2020-02-20;"Afghanistan";0;0;0
"31";"Afghanistan";33;65;2020-02-21;"Afghanistan";0;0;0
"32";"Afghanistan";33;65;2020-02-22;"Afghanistan";0;0;0
"33";"Afghanistan";33;65;2020-02-23;"Afghanistan";0;0;0
"34";"Afghanistan";33;65;2020-02-24;"Afghanistan";1;0;0
